A000069,Daniel,K.,Akaka,HI,107,2001
A000109,Wayne,A.,Allard,CO,107,2001
A000121,George,Felix,Allen,VA,107,2001
B001237,Dean,,Barkley,MN,107,2001
B000243,Max,,Baucus,MT,107,2001
B001233,Evan,,Bayh,IN,107,2001
B000382,Robert,F.,Bennett,UT,107,2001
B000444,Joseph,R.,Biden,DE,107,2001
B000468,Jeff,,Bingaman,NM,107,2001
B000611,Christopher,S.,Bond,MO,107,2001
B000711,Barbara,,Boxer,CA,107,2001
B000780,John,B.,Breaux,LA,107,2001
B000953,Sam,,Brownback,KS,107,2001
B001066,Jim,,Bunning,KY,107,2001
B001126,Conrad,,Burns,MT,107,2001
B001210,Robert,C.,Byrd,WV,107,2001
C000077,Ben,Nighthorse,Campbell,CO,107,2001
C000127,Maria,,Cantwell,WA,107,2001
C001043,Jean,,Carnahan,MO,107,2001
C000174,Thomas,R.,Carper,DE,107,2001
C001040,Lincoln,D.,Chafee,RI,107,2001
C001034,Max,,Cleland,GA,107,2001
C001041,Hillary,Rodham,Clinton,NY,107,2001
C000567,Thad,,Cochran,MS,107,2001
C001035,Susan,,Collins,ME,107,2001
C000705,Kent,,Conrad,ND,107,2001
C001056,John,,Cornyn,TX,107,2001
C001042,Jon,Stevens,Corzine,NJ,107,2001
C000858,Larry,E.,Craig,ID,107,2001
C000880,Michael,D.,Crapo,ID,107,2001
D000064,Thomas,A.,Daschle,SD,107,2001
D000596,Mark,,Dayton,MN,107,2001
D000294,Michael,,DeWine,OH,107,2001
D000388,Christopher,J.,Dodd,CT,107,2001
D000407,Pete,V.,Domenici,NM,107,2001
D000432,Byron,L.,Dorgan,ND,107,2001
D000563,Richard,J.,Durbin,IL,107,2001
E000286,John,Reid,Edwards,NC,107,2001
E000194,John,,Ensign,NV,107,2001
E000285,Michael,B.,Enzi,WY,107,2001
F000061,Russ,,Feingold,WI,107,2001
F000062,Dianne,,Feinstein,CA,107,2001
F000442,Peter,G.,Fitzgerald,IL,107,2001
F000439,William,H.,Frist,TN,107,2001
G000352,Bob,,Graham,FL,107,2001
G000365,Phil,,Gramm,TX,107,2001
G000386,Charles,E.,Grassley,IA,107,2001
G000445,Judd,,Gregg,NH,107,2001
H001028,Chuck,T.,Hagel,NE,107,2001
H000206,Tom,,Harkin,IA,107,2001
H000338,Orrin,G.,Hatch,UT,107,2001
H000463,Jesse,,Helms,NC,107,2001
H000725,Ernest,F.,Hollings,SC,107,2001
H001015,Tim,,Hutchinson,AR,107,2001
H001016,Kay,Bailey,Hutchison,TX,107,2001
I000024,James,M.,Inhofe,OK,107,2001
I000025,Daniel,K.,Inouye,HI,107,2001
J000072,James,M.,Jeffords,VT,107,2001
J000072,James,M.,Jeffords,VT,107,2001
J000177,Tim,,Johnson,SD,107,2001
K000105,Edward,M.,Kennedy,MA,107,2001
K000148,John,,Kerry,MA,107,2001
K000305,Herb,,Kohl,WI,107,2001
K000352,Jon,,Kyl,AZ,107,2001
L000550,Mary,L.,Landrieu,LA,107,2001
L000174,Patrick,J.,Leahy,VT,107,2001
L000261,Carl,,Levin,MI,107,2001
L000304,Joseph,I.,Lieberman,CT,107,2001
L000035,Blanche,,Lincoln,AR,107,2001
L000447,Trent,,Lott,MS,107,2001
L000504,Richard,G.,Lugar,IN,107,2001
M000303,John,,McCain,AZ,107,2001
M000355,Mitch,,McConnell,KY,107,2001
M000702,Barbara,A.,Mikulski,MD,107,2001
M001141,Zell,Bryan,Miller,GA,107,2001
M001085,Frank,H.,Murkowski,AK,107,2001
M001153,Lisa,,Murkowski,AK,107,2001
M001111,Patty,,Murray,WA,107,2001
N000032,Bill,,Nelson,FL,107,2001
N000180,Ben,,Nelson,NE,107,2001
N000102,Don,,Nickles,OK,107,2001
R000122,Jack,,Reed,RI,107,2001
R000146,Harry,,Reid,NV,107,2001
R000307,Pat,,Roberts,KS,107,2001
R000361,John,D.,Rockefeller,WV,107,2001
S000059,Richard,J.,Santorum,PA,107,2001
S000064,Paul,S.,Sarbanes,MD,107,2001
S000148,Charles,E.,Schumer,NY,107,2001
S001141,Jeff,,Sessions,AL,107,2001
S000320,Richard,C.,Shelby,AL,107,2001
S000606,Bob,,Smith,NH,107,2001
S001142,Gordon,Harold,Smith,OR,107,2001
S000663,Olympia,J.,Snowe,ME,107,2001
S000709,Arlen,,Specter,PA,107,2001
S000770,Debbie,,Stabenow,MI,107,2001
S000888,Ted,F.,Stevens,AK,107,2001
T000024,James,M.,Talent,MO,107,2001
T000162,Craig,,Thomas,WY,107,2001
T000457,Fred,,Thompson,TN,107,2001
T000254,Strom,,Thurmond,SC,107,2001
T000317,Robert,G.,Torricelli,NJ,107,2001
V000126,George,V.,Voinovich,OH,107,2001
W000154,John,W.,Warner,VA,107,2001
W000288,Paul,D.,Wellstone,MN,107,2001
W000779,Ron,,Wyden,OR,107,2001
A000069,Daniel,K.,Akaka,HI,108,2003
A000360,Lamar,,Alexander,TN,108,2003
A000109,Wayne,A.,Allard,CO,108,2003
A000121,George,Felix,Allen,VA,108,2003
B000243,Max,,Baucus,MT,108,2003
B001233,Evan,,Bayh,IN,108,2003
B000382,Robert,F.,Bennett,UT,108,2003
B000444,Joseph,R.,Biden,DE,108,2003
B000468,Jeff,,Bingaman,NM,108,2003
B000611,Christopher,S.,Bond,MO,108,2003
B000711,Barbara,,Boxer,CA,108,2003
B000780,John,B.,Breaux,LA,108,2003
B000953,Sam,,Brownback,KS,108,2003
B001066,Jim,,Bunning,KY,108,2003
B001126,Conrad,,Burns,MT,108,2003
B001210,Robert,C.,Byrd,WV,108,2003
C000077,Ben,Nighthorse,Campbell,CO,108,2003
C000127,Maria,,Cantwell,WA,108,2003
C000174,Thomas,R.,Carper,DE,108,2003
C001040,Lincoln,D.,Chafee,RI,108,2003
C000286,Saxby,,Chambliss,GA,108,2003
C001041,Hillary,Rodham,Clinton,NY,108,2003
C000567,Thad,,Cochran,MS,108,2003
C001057,Norm,,Coleman,MN,108,2003
C001035,Susan,,Collins,ME,108,2003
C000705,Kent,,Conrad,ND,108,2003
C001056,John,,Cornyn,TX,108,2003
C001042,Jon,Stevens,Corzine,NJ,108,2003
C000858,Larry,E.,Craig,ID,108,2003
C000880,Michael,D.,Crapo,ID,108,2003
D000064,Thomas,A.,Daschle,SD,108,2003
D000596,Mark,,Dayton,MN,108,2003
D000294,Michael,,DeWine,OH,108,2003
D000388,Christopher,J.,Dodd,CT,108,2003
D000601,Elizabeth,H.,Dole,NC,108,2003
D000407,Pete,V.,Domenici,NM,108,2003
D000432,Byron,L.,Dorgan,ND,108,2003
D000563,Richard,J.,Durbin,IL,108,2003
E000286,John,Reid,Edwards,NC,108,2003
E000194,John,,Ensign,NV,108,2003
E000285,Michael,B.,Enzi,WY,108,2003
F000061,Russ,,Feingold,WI,108,2003
F000062,Dianne,,Feinstein,CA,108,2003
F000442,Peter,G.,Fitzgerald,IL,108,2003
F000439,William,H.,Frist,TN,108,2003
G000352,Bob,,Graham,FL,108,2003
G000359,Lindsey,,Graham,SC,108,2003
G000386,Charles,E.,Grassley,IA,108,2003
G000445,Judd,,Gregg,NH,108,2003
H001028,Chuck,T.,Hagel,NE,108,2003
H000206,Tom,,Harkin,IA,108,2003
H000338,Orrin,G.,Hatch,UT,108,2003
H000725,Ernest,F.,Hollings,SC,108,2003
H001016,Kay,Bailey,Hutchison,TX,108,2003
I000024,James,M.,Inhofe,OK,108,2003
I000025,Daniel,K.,Inouye,HI,108,2003
J000072,James,M.,Jeffords,VT,108,2003
J000177,Tim,,Johnson,SD,108,2003
K000105,Edward,M.,Kennedy,MA,108,2003
K000148,John,,Kerry,MA,108,2003
K000305,Herb,,Kohl,WI,108,2003
K000352,Jon,,Kyl,AZ,108,2003
L000550,Mary,L.,Landrieu,LA,108,2003
L000123,Frank,R.,Lautenberg,NJ,108,2003
L000174,Patrick,J.,Leahy,VT,108,2003
L000261,Carl,,Levin,MI,108,2003
L000304,Joseph,I.,Lieberman,CT,108,2003
L000035,Blanche,,Lincoln,AR,108,2003
L000447,Trent,,Lott,MS,108,2003
L000504,Richard,G.,Lugar,IN,108,2003
M000303,John,,McCain,AZ,108,2003
M000355,Mitch,,McConnell,KY,108,2003
M000702,Barbara,A.,Mikulski,MD,108,2003
M001141,Zell,Bryan,Miller,GA,108,2003
M001153,Lisa,,Murkowski,AK,108,2003
M001111,Patty,,Murray,WA,108,2003
N000032,Bill,,Nelson,FL,108,2003
N000180,Ben,,Nelson,NE,108,2003
N000102,Don,,Nickles,OK,108,2003
P000590,Mark,,Pryor,AR,108,2003
R000122,Jack,,Reed,RI,108,2003
R000146,Harry,,Reid,NV,108,2003
R000307,Pat,,Roberts,KS,108,2003
R000361,John,D.,Rockefeller,WV,108,2003
S000059,Richard,J.,Santorum,PA,108,2003
S000064,Paul,S.,Sarbanes,MD,108,2003
S000148,Charles,E.,Schumer,NY,108,2003
S001141,Jeff,,Sessions,AL,108,2003
S000320,Richard,C.,Shelby,AL,108,2003
S001142,Gordon,Harold,Smith,OR,108,2003
S000663,Olympia,J.,Snowe,ME,108,2003
S000709,Arlen,,Specter,PA,108,2003
S000770,Debbie,,Stabenow,MI,108,2003
S000888,Ted,F.,Stevens,AK,108,2003
S001078,John,E.,Sununu,NH,108,2003
T000024,James,M.,Talent,MO,108,2003
T000162,Craig,,Thomas,WY,108,2003
V000126,George,V.,Voinovich,OH,108,2003
W000154,John,W.,Warner,VA,108,2003
W000779,Ron,,Wyden,OR,108,2003
A000069,Daniel,K.,Akaka,HI,109,2005
A000360,Lamar,,Alexander,TN,109,2005
A000109,Wayne,A.,Allard,CO,109,2005
A000121,George,Felix,Allen,VA,109,2005
B000243,Max,,Baucus,MT,109,2005
B001233,Evan,,Bayh,IN,109,2005
B000382,Robert,F.,Bennett,UT,109,2005
B000444,Joseph,R.,Biden,DE,109,2005
B000468,Jeff,,Bingaman,NM,109,2005
B000611,Christopher,S.,Bond,MO,109,2005
B000711,Barbara,,Boxer,CA,109,2005
B000953,Sam,,Brownback,KS,109,2005
B001066,Jim,,Bunning,KY,109,2005
B001126,Conrad,,Burns,MT,109,2005
B001135,Richard,M.,Burr,NC,109,2005
B001210,Robert,C.,Byrd,WV,109,2005
C000127,Maria,,Cantwell,WA,109,2005
C000174,Thomas,R.,Carper,DE,109,2005
C001040,Lincoln,D.,Chafee,RI,109,2005
C000286,Saxby,,Chambliss,GA,109,2005
C001041,Hillary,Rodham,Clinton,NY,109,2005
C000560,Tom,,Coburn,OK,109,2005
C000567,Thad,,Cochran,MS,109,2005
C001057,Norm,,Coleman,MN,109,2005
C001035,Susan,,Collins,ME,109,2005
C000705,Kent,,Conrad,ND,109,2005
C001056,John,,Cornyn,TX,109,2005
C001042,Jon,Stevens,Corzine,NJ,109,2005
C000858,Larry,E.,Craig,ID,109,2005
C000880,Michael,D.,Crapo,ID,109,2005
D000596,Mark,,Dayton,MN,109,2005
D000595,Jim,,DeMint,SC,109,2005
D000294,Michael,,DeWine,OH,109,2005
D000388,Christopher,J.,Dodd,CT,109,2005
D000601,Elizabeth,H.,Dole,NC,109,2005
D000407,Pete,V.,Domenici,NM,109,2005
D000432,Byron,L.,Dorgan,ND,109,2005
D000563,Richard,J.,Durbin,IL,109,2005
E000194,John,,Ensign,NV,109,2005
E000285,Michael,B.,Enzi,WY,109,2005
F000061,Russ,,Feingold,WI,109,2005
F000062,Dianne,,Feinstein,CA,109,2005
F000439,William,H.,Frist,TN,109,2005
G000359,Lindsey,,Graham,SC,109,2005
G000386,Charles,E.,Grassley,IA,109,2005
G000445,Judd,,Gregg,NH,109,2005
H001028,Chuck,T.,Hagel,NE,109,2005
H000206,Tom,,Harkin,IA,109,2005
H000338,Orrin,G.,Hatch,UT,109,2005
H001016,Kay,Bailey,Hutchison,TX,109,2005
I000024,James,M.,Inhofe,OK,109,2005
I000025,Daniel,K.,Inouye,HI,109,2005
I000055,Johnny,,Isakson,GA,109,2005
J000072,James,M.,Jeffords,VT,109,2005
J000177,Tim,,Johnson,SD,109,2005
K000105,Edward,M.,Kennedy,MA,109,2005
K000148,John,,Kerry,MA,109,2005
K000305,Herb,,Kohl,WI,109,2005
K000352,Jon,,Kyl,AZ,109,2005
L000550,Mary,L.,Landrieu,LA,109,2005
L000123,Frank,R.,Lautenberg,NJ,109,2005
L000174,Patrick,J.,Leahy,VT,109,2005
L000261,Carl,,Levin,MI,109,2005
L000304,Joseph,I.,Lieberman,CT,109,2005
L000035,Blanche,,Lincoln,AR,109,2005
L000447,Trent,,Lott,MS,109,2005
L000504,Richard,G.,Lugar,IN,109,2005
M001162,Mel,,Martinez,FL,109,2005
M000303,John,,McCain,AZ,109,2005
M000355,Mitch,,McConnell,KY,109,2005
M000639,Robert,,Menendez,NJ,109,2005
M000702,Barbara,A.,Mikulski,MD,109,2005
M001153,Lisa,,Murkowski,AK,109,2005
M001111,Patty,,Murray,WA,109,2005
N000032,Bill,,Nelson,FL,109,2005
N000180,Ben,,Nelson,NE,109,2005
O000167,Barack,,Obama,IL,109,2005
P000590,Mark,,Pryor,AR,109,2005
R000122,Jack,,Reed,RI,109,2005
R000146,Harry,,Reid,NV,109,2005
R000307,Pat,,Roberts,KS,109,2005
R000361,John,D.,Rockefeller,WV,109,2005
S001163,Ken,,Salazar,CO,109,2005
S000059,Richard,J.,Santorum,PA,109,2005
S000064,Paul,S.,Sarbanes,MD,109,2005
S000148,Charles,E.,Schumer,NY,109,2005
S001141,Jeff,,Sessions,AL,109,2005
S000320,Richard,C.,Shelby,AL,109,2005
S001142,Gordon,Harold,Smith,OR,109,2005
S000663,Olympia,J.,Snowe,ME,109,2005
S000709,Arlen,,Specter,PA,109,2005
S000770,Debbie,,Stabenow,MI,109,2005
S000888,Ted,F.,Stevens,AK,109,2005
S001078,John,E.,Sununu,NH,109,2005
T000024,James,M.,Talent,MO,109,2005
T000162,Craig,,Thomas,WY,109,2005
T000250,John,,Thune,SD,109,2005
V000127,David,,Vitter,LA,109,2005
V000126,George,V.,Voinovich,OH,109,2005
W000154,John,W.,Warner,VA,109,2005
W000779,Ron,,Wyden,OR,109,2005
A000069,Daniel,K.,Akaka,HI,110,2007
A000360,Lamar,,Alexander,TN,110,2007
A000109,Wayne,A.,Allard,CO,110,2007
B001261,John,,Barrasso,WY,110,2007
B000243,Max,,Baucus,MT,110,2007
B001233,Evan,,Bayh,IN,110,2007
B000382,Robert,F.,Bennett,UT,110,2007
B000444,Joseph,R.,Biden,DE,110,2007
B000468,Jeff,,Bingaman,NM,110,2007
B000611,Christopher,S.,Bond,MO,110,2007
B000711,Barbara,,Boxer,CA,110,2007
B000944,Sherrod,,Brown,OH,110,2007
B000953,Sam,,Brownback,KS,110,2007
B001066,Jim,,Bunning,KY,110,2007
B001135,Richard,M.,Burr,NC,110,2007
B001210,Robert,C.,Byrd,WV,110,2007
C000127,Maria,,Cantwell,WA,110,2007
C000141,Benjamin,L.,Cardin,MD,110,2007
C000174,Thomas,R.,Carper,DE,110,2007
C001070,Bob,,Casey,PA,110,2007
C000286,Saxby,,Chambliss,GA,110,2007
C001041,Hillary,Rodham,Clinton,NY,110,2007
C000560,Tom,,Coburn,OK,110,2007
C000567,Thad,,Cochran,MS,110,2007
C001057,Norm,,Coleman,MN,110,2007
C001035,Susan,,Collins,ME,110,2007
C000705,Kent,,Conrad,ND,110,2007
C001071,Bob,,Corker,TN,110,2007
C001056,John,,Cornyn,TX,110,2007
C000858,Larry,E.,Craig,ID,110,2007
C000880,Michael,D.,Crapo,ID,110,2007
D000595,Jim,,DeMint,SC,110,2007
D000388,Christopher,J.,Dodd,CT,110,2007
D000601,Elizabeth,H.,Dole,NC,110,2007
D000407,Pete,V.,Domenici,NM,110,2007
D000432,Byron,L.,Dorgan,ND,110,2007
D000563,Richard,J.,Durbin,IL,110,2007
E000194,John,,Ensign,NV,110,2007
E000285,Michael,B.,Enzi,WY,110,2007
F000061,Russ,,Feingold,WI,110,2007
F000062,Dianne,,Feinstein,CA,110,2007
G000359,Lindsey,,Graham,SC,110,2007
G000386,Charles,E.,Grassley,IA,110,2007
G000445,Judd,,Gregg,NH,110,2007
H001028,Chuck,T.,Hagel,NE,110,2007
H000206,Tom,,Harkin,IA,110,2007
H000338,Orrin,G.,Hatch,UT,110,2007
H001016,Kay,Bailey,Hutchison,TX,110,2007
I000024,James,M.,Inhofe,OK,110,2007
I000025,Daniel,K.,Inouye,HI,110,2007
I000055,Johnny,,Isakson,GA,110,2007
J000177,Tim,,Johnson,SD,110,2007
K000105,Edward,M.,Kennedy,MA,110,2007
K000148,John,,Kerry,MA,110,2007
K000367,Amy,,Klobuchar,MN,110,2007
K000305,Herb,,Kohl,WI,110,2007
K000352,Jon,,Kyl,AZ,110,2007
L000550,Mary,L.,Landrieu,LA,110,2007
L000123,Frank,R.,Lautenberg,NJ,110,2007
L000174,Patrick,J.,Leahy,VT,110,2007
L000261,Carl,,Levin,MI,110,2007
L000304,Joseph,I.,Lieberman,CT,110,2007
L000035,Blanche,,Lincoln,AR,110,2007
L000447,Trent,,Lott,MS,110,2007
L000504,Richard,G.,Lugar,IN,110,2007
M001162,Mel,,Martinez,FL,110,2007
M000303,John,,McCain,AZ,110,2007
M001170,Claire,,McCaskill,MO,110,2007
M000355,Mitch,,McConnell,KY,110,2007
M000639,Robert,,Menendez,NJ,110,2007
M000702,Barbara,A.,Mikulski,MD,110,2007
M001153,Lisa,,Murkowski,AK,110,2007
M001111,Patty,,Murray,WA,110,2007
N000032,Bill,,Nelson,FL,110,2007
N000180,Ben,,Nelson,NE,110,2007
O000167,Barack,,Obama,IL,110,2007
P000590,Mark,,Pryor,AR,110,2007
R000122,Jack,,Reed,RI,110,2007
R000146,Harry,,Reid,NV,110,2007
R000307,Pat,,Roberts,KS,110,2007
R000361,John,D.,Rockefeller,WV,110,2007
S001163,Ken,,Salazar,CO,110,2007
S000033,Bernard,,Sanders,VT,110,2007
S000148,Charles,E.,Schumer,NY,110,2007
S001141,Jeff,,Sessions,AL,110,2007
S000320,Richard,C.,Shelby,AL,110,2007
S001142,Gordon,Harold,Smith,OR,110,2007
S000663,Olympia,J.,Snowe,ME,110,2007
S000709,Arlen,,Specter,PA,110,2007
S000770,Debbie,,Stabenow,MI,110,2007
S000888,Ted,F.,Stevens,AK,110,2007
S001078,John,E.,Sununu,NH,110,2007
T000464,Jon,,Tester,MT,110,2007
T000162,Craig,,Thomas,WY,110,2007
T000250,John,,Thune,SD,110,2007
V000127,David,,Vitter,LA,110,2007
V000126,George,V.,Voinovich,OH,110,2007
W000154,John,W.,Warner,VA,110,2007
W000803,Jim,,Webb,VA,110,2007
W000802,Sheldon,,Whitehouse,RI,110,2007
W000437,Roger,,Wicker,MS,110,2007
W000779,Ron,,Wyden,OR,110,2007
A000069,Daniel,K.,Akaka,HI,111,2009
A000360,Lamar,,Alexander,TN,111,2009
B001261,John,,Barrasso,WY,111,2009
B000243,Max,,Baucus,MT,111,2009
B001233,Evan,,Bayh,IN,111,2009
B001265,Mark,,Begich,AK,111,2009
B001267,Michael,,Bennet,CO,111,2009
B000382,Robert,F.,Bennett,UT,111,2009
B000444,Joseph,R.,Biden,DE,111,2009
B000468,Jeff,,Bingaman,NM,111,2009
B000611,Christopher,S.,Bond,MO,111,2009
B000711,Barbara,,Boxer,CA,111,2009
B001268,Scott,,Brown,MA,111,2009
B000944,Sherrod,,Brown,OH,111,2009
B000953,Sam,,Brownback,KS,111,2009
B001066,Jim,,Bunning,KY,111,2009
B001135,Richard,M.,Burr,NC,111,2009
B001266,Roland,W.,Burris,IL,111,2009
B001210,Robert,C.,Byrd,WV,111,2009
C000127,Maria,,Cantwell,WA,111,2009
C000141,Benjamin,L.,Cardin,MD,111,2009
C000174,Thomas,R.,Carper,DE,111,2009
C001070,Bob,,Casey,PA,111,2009
C000286,Saxby,,Chambliss,GA,111,2009
C001041,Hillary,Rodham,Clinton,NY,111,2009
C000560,Tom,,Coburn,OK,111,2009
C000567,Thad,,Cochran,MS,111,2009
C001035,Susan,,Collins,ME,111,2009
C000705,Kent,,Conrad,ND,111,2009
C001088,Christopher,A.,Coons,DE,111,2009
C001071,Bob,,Corker,TN,111,2009
C001056,John,,Cornyn,TX,111,2009
C000880,Michael,D.,Crapo,ID,111,2009
D000595,Jim,,DeMint,SC,111,2009
D000388,Christopher,J.,Dodd,CT,111,2009
D000432,Byron,L.,Dorgan,ND,111,2009
D000563,Richard,J.,Durbin,IL,111,2009
E000194,John,,Ensign,NV,111,2009
E000285,Michael,B.,Enzi,WY,111,2009
F000061,Russ,,Feingold,WI,111,2009
F000062,Dianne,,Feinstein,CA,111,2009
F000457,Al,,Franken,MN,111,2009
G000555,Kirsten,E.,Gillibrand,NY,111,2009
G000561,Carte,P.,Goodwin,WV,111,2009
G000359,Lindsey,,Graham,SC,111,2009
G000386,Charles,E.,Grassley,IA,111,2009
G000445,Judd,,Gregg,NH,111,2009
H001049,Kay,,Hagan,NC,111,2009
H000206,Tom,,Harkin,IA,111,2009
H000338,Orrin,G.,Hatch,UT,111,2009
H001016,Kay,Bailey,Hutchison,TX,111,2009
I000024,James,M.,Inhofe,OK,111,2009
I000025,Daniel,K.,Inouye,HI,111,2009
I000055,Johnny,,Isakson,GA,111,2009
J000291,Mike,,Johanns,NE,111,2009
J000177,Tim,,Johnson,SD,111,2009
K000373,Edward,E.,Kaufman,DE,111,2009
K000105,Edward,M.,Kennedy,MA,111,2009
K000148,John,,Kerry,MA,111,2009
K000374,Paul,G.,Kirk,MA,111,2009
K000360,Mark,Steven,Kirk,IL,111,2009
K000367,Amy,,Klobuchar,MN,111,2009
K000305,Herb,,Kohl,WI,111,2009
K000352,Jon,,Kyl,AZ,111,2009
L000550,Mary,L.,Landrieu,LA,111,2009
L000123,Frank,R.,Lautenberg,NJ,111,2009
L000174,Patrick,J.,Leahy,VT,111,2009
L000572,George,S.,LeMieux,FL,111,2009
L000261,Carl,,Levin,MI,111,2009
L000304,Joseph,I.,Lieberman,CT,111,2009
L000035,Blanche,,Lincoln,AR,111,2009
L000504,Richard,G.,Lugar,IN,111,2009
M001183,Joe,,Manchin,WV,111,2009
M001162,Mel,,Martinez,FL,111,2009
M000303,John,,McCain,AZ,111,2009
M001170,Claire,,McCaskill,MO,111,2009
M000355,Mitch,,McConnell,KY,111,2009
M000639,Robert,,Menendez,NJ,111,2009
M001176,Jeff,,Merkley,OR,111,2009
M000702,Barbara,A.,Mikulski,MD,111,2009
M001153,Lisa,,Murkowski,AK,111,2009
M001111,Patty,,Murray,WA,111,2009
N000180,Ben,,Nelson,NE,111,2009
N000032,Bill,,Nelson,FL,111,2009
P000590,Mark,,Pryor,AR,111,2009
R000122,Jack,,Reed,RI,111,2009
R000146,Harry,,Reid,NV,111,2009
R000584,Jim,,Risch,ID,111,2009
R000307,Pat,,Roberts,KS,111,2009
R000361,John,D.,Rockefeller,WV,111,2009
S001163,Ken,,Salazar,CO,111,2009
S000033,Bernard,,Sanders,VT,111,2009
S000148,Charles,E.,Schumer,NY,111,2009
S001141,Jeff,,Sessions,AL,111,2009
S001181,Jeanne,,Shaheen,NH,111,2009
S000320,Richard,C.,Shelby,AL,111,2009
S000663,Olympia,J.,Snowe,ME,111,2009
S000709,Arlen,,Specter,PA,111,2009
S000709,Arlen,,Specter,PA,111,2009
S000770,Debbie,,Stabenow,MI,111,2009
T000464,Jon,,Tester,MT,111,2009
T000250,John,,Thune,SD,111,2009
U000038,Mark,,Udall,CO,111,2009
U000039,Tom,,Udall,NM,111,2009
V000127,David,,Vitter,LA,111,2009
V000126,George,V.,Voinovich,OH,111,2009
W000805,Mark,,Warner,VA,111,2009
W000803,Jim,,Webb,VA,111,2009
W000802,Sheldon,,Whitehouse,RI,111,2009
W000437,Roger,,Wicker,MS,111,2009
W000779,Ron,,Wyden,OR,111,2009
A000069,Daniel,K.,Akaka,HI,112,2011
A000360,Lamar,,Alexander,TN,112,2011
A000368,Kelly,,Ayotte,NH,112,2011
B001261,John,,Barrasso,WY,112,2011
B000243,Max,,Baucus,MT,112,2011
B001265,Mark,,Begich,AK,112,2011
B001267,Michael,,Bennet,CO,112,2011
B000468,Jeff,,Bingaman,NM,112,2011
B001277,Richard,,Blumenthal,CT,112,2011
B000575,Roy,,Blunt,MO,112,2011
B001236,John,,Boozman,AR,112,2011
B000711,Barbara,,Boxer,CA,112,2011
B001268,Scott,,Brown,MA,112,2011
B000944,Sherrod,,Brown,OH,112,2011
B001135,Richard,M.,Burr,NC,112,2011
C000127,Maria,,Cantwell,WA,112,2011
C000141,Benjamin,L.,Cardin,MD,112,2011
C000174,Thomas,R.,Carper,DE,112,2011
C001070,Bob,,Casey,PA,112,2011
C000286,Saxby,,Chambliss,GA,112,2011
C000542,Daniel,,Coats,IN,112,2011
C000560,Tom,,Coburn,OK,112,2011
C000567,Thad,,Cochran,MS,112,2011
C001035,Susan,,Collins,ME,112,2011
C000705,Kent,,Conrad,ND,112,2011
C001088,Christopher,A.,Coons,DE,112,2011
C001071,Bob,,Corker,TN,112,2011
C001056,John,,Cornyn,TX,112,2011
C000880,Michael,D.,Crapo,ID,112,2011
D000595,Jim,,DeMint,SC,112,2011
D000563,Richard,J.,Durbin,IL,112,2011
E000194,John,,Ensign,NV,112,2011
E000285,Michael,B.,Enzi,WY,112,2011
F000062,Dianne,,Feinstein,CA,112,2011
F000457,Al,,Franken,MN,112,2011
G000555,Kirsten,E.,Gillibrand,NY,112,2011
G000359,Lindsey,,Graham,SC,112,2011
G000386,Charles,E.,Grassley,IA,112,2011
H001049,Kay,,Hagan,NC,112,2011
H000206,Tom,,Harkin,IA,112,2011
H000338,Orrin,G.,Hatch,UT,112,2011
H001041,Dean,,Heller,NV,112,2011
H001061,John,,Hoeven,ND,112,2011
